NOMBRE_CANDIDATO,PARTIDO_COALICION,CARGO,ENTIDAD,DISTRITO FEDERAL,CIRCUNSCRIPCION,NUM_LISTA_O_FORMULA,TIPO_CANDIDATO,EDAD,SEXO,DIRECCION_CASA_CAMPAÑA,TELEFONO,CORREO_ELECTRONICO,PAGINA_WEB,REDES,ESCOLARIDAD,ESTATUS_ESCOLARIDAD,CURSOS,HISTORIA_PROFESIONAL,TRAYECTORIA_POLITICA,MOTIVO_CARGO_PUBLICO,PROPUESTA_1,PROPUESTA_2,PROPUESTA_GENERO
LAURA LORENA HARO RAMIREZ,FUERZA Y CORAZÓN POR JALISCO,GUBERNATURA,JALISCO,No Aplica,No Aplica,4,TITULAR,36,FEMENINO,,,,,,Maestria,,"-Comunicación Gubernamental y Legitimación de Políticas Públicas. ITESO.
-Renovación Sustentable de la Ciudad. ESARQ.
-Desarrollo de Habilidades Socioemocionales para Directivos. PNUD - SEP.
-Diplomado en Inteligencia Política y Género. Universidad Camilo José Cela.","Cuento con experiencia como litigante, esto en el juzgado 10 mercantil del Primer Partido Judicial de Jalisco. He litigado en materia civil, familiar y de amparo. En 2011 participé como Consejera del Consejo Editorial del Diario Mural. Entre 2010 y 2012 fui Coordinadora de proyectos estratégicos y emprendimiento social, Dirección General de Desarrollo Social y Humano del Gobierno de Zapopan. En 2016 fui Directora del Conalep Zapopan en la SEP de Jalisco.

Todo esto aunado a mi trayectoria política en Zapopan, en el PRI y en Jalisco, donde he sido regidora, la primera presidenta electa del Comité Directivo Estatal del PRI Jalisco, y Diputada Federal. Ahora, soy la primera candidata para gobernadora de Jalisco por el PAN-PRI-PRD.","A partir del 2010, fungí como Coordinadora de proyectos estratégicos y emprendimiento social, en la Dirección General de Desarrollo Social y Humano del Gobierno de Zapopan. Fui regidora en la administración del ayuntamiento de Zapopan de 2012 a 2015. En 2015 fui candidata a Diputada Local por el Distrito 10 de Jalisco.

Entre 2016 y 2019 fui Dirigente Nacional de la Red Jóvenes por México del CEN del PRI. Del 2019 al 2021 fui Secretaria de Vinculación con la Sociedad Civil del PRI. Desde el 2021 hasta hace un par de semanas tuve el cargo de Diputada por representación proporcional de Jalisco en el Congreso de la Unión. Desde 2022 y hasta el 2023 fui la primera presidenta electa del Comité Directivo Estatal del PRI en Jalisco. Actualmente soy la primera candidata a Gobernadora de Jalisco por los partidos PAN- PRI-PRD.","Porque Jalisco merece una realidad distinta. Nuestro estado enfrenta severas crisis: inseguridad, sequía, violencia, abandono del interior del estado. La indolencia de los gobernantes ante estos serios problemas ha sido brutal.

Yo he recorrido en distintas ocasiones todos y cada uno de los 125 municipios de Jalisco: comunidad por comunidad, barrio por barrio, ejidos, rancherías, TODO el estado. La realidad que se vive en Jalisco es la misma, abandono e indolencia de los gobernantes.

Jalisco necesita un gobierno que abrace el dolor del otro. Y esto solo se puede alcanzar con perfiles que den todo el todo por Jalisco, porque nuestro estado necesita que la realidad que enfrentamos cambie. Jalisco necesita una gobernadora transparente, leal, solidaria, comprometida y con resultados.

Soy quien me prometí ser a nivel de autoridad, pero la que siempre fui a nivel de moral. En mí no hay ni un solo milímetro de cola que me pisen, he presentado pruebas de exámenes toxicológicos, prueba de polígrafo y perfil conductual. Los resultados son públicos. No hay nada que esconder.

Por eso quiero ser la primer Gobernadora de Jalisco, porque estoy lista, porque Jalisco necesita un cambio de realidad.","A. Regresar la paz y la seguridad a Jalisco, abrazando el dolor del otro, reconstruyendo el tejido social y pacificando a las comunidades a través de agendas transversales como el deporte y la educación.
B. Homologación salarial para policías. Ningún elemento de Jalisco puede ganar menos de 20,000 mensuales.
C. Generación de programas de apoyos para policías y sus familias, como seguridad social, becas y acceso a vivienda propia.
D. Fortalecimiento a las policías municipales, mediante recursos estatales y federales.
E. Fortalecimiento a las instituciones responsables de la procuración de justicia.
F. Una verdadera atención profunda a la crisis de desaparición en Jalisco.
G. Cero tolerancias a la violencia contra las mujeres.","A. Agua Limpia para Siempre
-Sanear y restaurar el Río Santiago, el más contaminado de México.
-Concluir el cinturón de protección de la cuenca del lago de Chapala
B. Aire Limpio para Siempre
-Renovación del parque vehicular del transporte público, con unidades ecológicas
C. Verificación vehicular sin corrupción, mediante incentivos, descuentos y condonaciones
D. Basura Cero
-Inversión de 1000 millones de pesos a lo largo del sexenio para mejorar la gestión de residuos sólidos.
E. Convertir en Área Natural Protegida las siguientes zonas
-Zona del Águila en el Cañón de Bolaños
-Volcán de Tequila
-Sierra de Chapala
-Sierra Altos de Jalisco
-Blindar al Bosque de la Primavera y aumentar su protección
-Bienestar Animal
F. Promover la reforma a los reglamentos de los 125 municipios, para incluir el maltrato animal como una falta administrativa grave.","CIUDAD MUJER
-Atención eficaz, evitando procesos de revictimización.
-Atención pronta con perspectiva de género.
-Acceso a servicios al brindar cuidado temporal a sus hijas e hijos.
-Acciones integrales para la prevención y seguridad de niñas, niños, adolescentes y mujeres.
-Acceso a información, cultural y recreación.
-Capacitación para el trabajo y empoderamiento

TARJETA MUJER FUERZA Y CORAZÓN
Amas de casa y cuidadoras
-Salario Rosa
-Bolsa Rosa
-Acceso a la alimentación
-Impuestos Rosas
-Seguro universal para mujeres
-Capacitación para el autoempleo

VIVIENDA ROSA
-Apoyos para que jefas de familia accedan a vivienda digna
-Acuerdos con el INFONAVIT para préstamos con bajo costo de interés y requisitos mínimo

CENTROS DE JUSTICIA PARA LA MUJER
-Fortalecimiento de los Centros de Justicia para la Mujer
-Red de Centros de Justicia para la Mujer en región Valles, Ciénega y Altos.
-Brazaletes para agresores
-Dotar de presupuesto para refugios de las mujeres víctimas de violencia
-Ni una mujer con orden de protección, asesinada
-Creación del Registro Estatal de Agresores
-Capacitación constante a funcionarios públicos
-Mejorar la atención y protocolos de los Centros de Justicia para la Mujer

PARTICIPACIÓN POLÍTICA
-Un gobierno congruente
-Gabinete paritario
-Ningún agresor o deudor alimentario en el gobierno
-Capacitación continua a personal
-NO a la violencia política contra las mujeres
-Causal de juicio político, la violencia política contra las mujeres"
JESUS PABLO LEMUS NAVARRO,MC,GUBERNATURA,JALISCO,No Aplica,No Aplica,5,TITULAR,54,MASCULINO,,,,,,Licenciatura (Terminada),,"Mi cercanía con el mundo de los negocios desde temprana edad fue gracias a la empresa que fundó  mi abuelo paterno dedicada a la venta de discos e instrumentos musicales, motivándome a estudiar la licenciatura en Administración de Empresas y Emprendimiento en el Instituto Tecnológico de Estudios Superiores de Occidente (ITESO). Posteriormente, hice una maestría en Finanzas por la Universidad Panamericana (UP) y una especialidad en el Instituto Panamericano de Alta Dirección de Empresas (IPADE).","En 1997 ocupé el cargo de Presidente de la Comisión de Empresarios Jóvenes de Coparmex Jalisco, donde impulsé diversos proyectos encaminados al desarrollo de las y los jóvenes
emprendedores de Jalisco.
Posteriormente, me incorporé a Multivalores, uno de los grupos financieros más importantes de nuestro país, donde ocupé distintos cargos durante once años.
En 2008 fundé Credicampo, empresa encargada de otorgar financiamiento al sector agrícola, pecuario, agroalimentario y agroindustrial, donde, entre otras cosas, aprendí la importancia de apoyar a los sectores productivos de nuestro estado y nuestro país.
A la par de esta responsabilidad, en 2011 fuí invitado por la estación Zona 3 Noticias, para ser el conductor de su noticiero radiofónico, incursionando por primera vez en mi vida en el mundo de los medios de comunicación.","En 2015, fuí invitado por la dirigencia de Movimiento Ciudadano para ser su candidato externo a la presidencia municipal de Zapopan (nunca he militado ni militaré en ningún partido político), donde construimos una campaña que vino de atrás, en la que, en un principio, poca gente creía y que al final logró romper con el bipartidismo y forjar un nuevo estilo de gobernar en este municipio.
En Zapopan, de la mano de mujeres y hombres muy capaces, creamos la ciudad de las niñas y los niños, es decir, un gobierno pensado en el bienestar y el porvenir de las y los ciudadanos del futuro.
Las y los zapopanos reconocieron el buen gobierno que construimos, otorgándonos la confianza para un segundo periodo de gobierno, de 2018 a 2021, en el que además de trabajar en favor de las niñas y los niños, consolidamos a Zapopan como un referente de desarrollo y prosperidad a nivel nacional.
En 2021, fuí invitado nuevamente por Movimiento Ciudadano a ser el candidato de a la presidencia municipal de Guadalajara, donde las y los tapatíos depositaron nuevamente su confianza en nuestro proyecto, llevándome a ser Presidente Municipal de la ciudad donde nací, uno de los honores más grandes que he recibido en mi vida.
En el Gobierno de Guadalajara, nos concentramos en devolverle su grandeza a la ciudad, recuperando su espacio más antiguo y emblemático, el Centro Histórico, llenándolo de actividades culturales y recreativas para todo tipo de públicos. También, apostamos por mejorar las condiciones salariales de los policías de Guadalajara y brindarles todo el equipamiento necesario para poder ofrecer más seguridad a la ciudadanía.
En Guadalajara, impulsamos la inversión en materia de obra pública e infraestructura más importante en su historia reciente, destinando 5 mil 500 millones de pesos, sin generar un solo peso de deuda, que se vieron reflejados en una mejora sustancial de las vialidades y espacios públicos de todos los rincones de la ciudad.
Trajimos de Zapopan los Centros Colmena, que son centros comunitarios con una decisiva participación de las comunidades para generar entornos de mayor confianza entre los vecinos y una mejora en la percepción de seguridad. Hasta el momento hemos abierto cuatro centros Colmena en colonias y barrios de Guadalajara.","Por que Jalisco, además de ser emblema de la mexicanidad a nivel mundial, es un estado que brilla a lo grande gracias al enorme talento de su gente. Y porque cuento con la experiencia para liderar a nuestro estado hacia un futuro lleno de oportunidades y prosperidad para todas y todos. En mi trayectoria dentro del servicio público he demostrado capacidad ejecutiva y para lograr acuerdos con todos los niveles de Gobierno para generar más infraestructura o materializar proyectos en favor de la ciudadanía.","Nuestra apuesta por Jalisco se encuentra cimentada en tres pilares fundamentales: seguridad, prosperidad y calidad de vida.
En materia educativa, brindaremos a nuestras niñas y niños las mejores herramientas, para que el día de mañana se conviertan en profesionistas exitosos. Renovaremos todas las escuelas públicas de Jalisco en los primeros 3 años de gobierno; recuperaremos el programa de Escuelas de Tiempo Completo, para apoyar a las madres y padres trabajadores y dotaremos de una tablet a todos los estudiantes de nivel básico.
En materia de seguridad crearemos una red de centros colmena en las ciudades medias de Jalisco para reconstruir el tejido social, haremos de la Policía Estatal la mejor de todo el país, capacitaremos a los oficiales en instituciones internacionales, serán los mejor pagados de México y contarán con el mejor equipamiento y contaremos con una Policía Estatal de Caminos para inhibir los robos en las carreteras de la entidad. Crearemos dos fiscalías especializadas para atender los delitos cometidos contra mujeres y menores de edad y dotaremos de mayores atribuciones a la Comisión Estatal de Búsqueda. Mantendré reuniones periódicas con familiares de personas desaparecidas y haremos de Jalisco el estado con menor impunidad de México.","Haremos la apuesta más grande de la historia de Jalisco para ampliar la oferta de transporte público masivo que beneficie a más familias del área metropolitana y transformaremos los sistemas de transporte público de las ciudades medias para que tengan la mejor calidad.

Estos son los principales proyectos a ejecutar:
● Ampliación de las tres líneas del Tren Ligero:
○ Línea1: hasta SanAgustín, enTlajomulco.
○ Línea2: hastaTonalá.
○ Línea 3: al poniente hasta Tesistán y al oriente hasta
Tonalá.
● Construcción del Tren Interurbano sobre avenida
Inglaterra, para conectar del centro de Guadalajara, en la antigua estación del ferrocarril, con el poniente de la ciudad, hacia el estadio Akron, La Venta del Astillero y en una segunda etapa hasta el municipio de Tala.
● Mejoramiento integral de las carreteras en el interior del estado.","Para garantizar la igualdad sustantiva y el desarrollo integral de las mujeres, hemos diseñado una propuesta basada en cuatro principios básicos: seguridad, justicia, salud y desarrollo económico:
● Seguridad
○ Dispositivos Pulsos de Vida en todos los municipios de Jalisco.
○ Policías regionales para atender las violencias.
○ Apoyos económicos para que las mujeres puedan salir de
entornos violentos.
● Justicia
○ Crear la Fiscalía especializada en atención a las violencias
en contra de las mujeres y la Subsecretaría especializada
de atención a víctimas de las violencias.
○ Fortalecimiento y ampliación de la Red de Centros de
Justicia en todo Jalisco.
○ Creación de nuevos métodos de participación ciudadana
para la construcción de un presupuesto con perspectiva de género que identifique y atienda las necesidades de las mujeres.
● Salud
○ Fortalecer los programas de prevención, detección y
atención de cáncer de mama y cervicouterino.
○ Menstruación digna.
○ Prevención del embarazo adolescente.
○ Modernizar nuestros mecanismos de monitoreo de riesgos
en el embarazo, para reducir los índices de muerte
materno-infantil.

● Desarrollo económico
○ Capacitación, financiamiento y créditos para que más
mujeres puedan abrir su propio negocio.
○ Incentivos a empresas que promuevan la equidad laboral.
 ○ Políticas laborales que incentiven la corresponsabilidad de hombres y mujeres en materia de cuidados.
○ Apoyos económicos a cuidadoras y cuidadores de personas con discapacidad."
CLAUDIA DELGADILLO GONZALEZ,SIGAMOS HACIENDO HISTORIA EN JALISCO,GUBERNATURA,JALISCO,No Aplica,No Aplica,6,TITULAR,51,FEMENINO,,,,,,Licenciatura (Terminada),,null,"•	Docente honorífica en Derecho Laboral, centro universitario de ciencias sociales y humanidades de la universidad de Guadalajara, Guadalajara, jalisco — 2009-2010
•	Docente titular en Derecho Laboral, centro universitario de educación superior de la hermosa provincia, Guadalajara, jalisco — 2009","•	Regidora, ayuntamiento de Guadalajara, Guadalajara, jalisco — 2007 - 2009
•	diputada federal, congreso de la unión, LIX legislatura, ciudad de México,— 2003 - 2006
•	procuradora social, junta local de conciliación y arbitraje del estado, Jalisco,— 1996 - 2005
•	abogada postulante, junta local de conciliación y arbitraje del estado, Jalisco,— 1996 - 2005
•	secretaria de desarrollo social, ayuntamiento de Guadalajara, Guadalajara, jalisco — 2010-2012
•	diputada federal, congreso de la unión, LXII legislatura, ciudad de México,— 2012-2015
•	diputada local, congreso del estado de jalisco, LXI legislatura, Guadalajara, jalisco — 2015-2018
•	regidora, ayuntamiento de Guadalajara, Guadalajara, Jalisco— 2018- 2021
Diputada Federal por el Distrito 11
•	Presidenta de la CNOP en Guadalajara
•	Candidata a la Presidencia Municipal de Guadalajara por MORENA 2018","Quiero ser gobernadora de Jalisco porque quiero encabezar un gobierno honesto, que acabe con la corrupción y los privilegios para unos cuantos, y garantice que el bienestar sea compartido por todas y todos los jaliscienses. Quiero ser gobernadora, porque a lo largo de 25 años he recorrido mi estado, escuchado a su gente, y estoy convencida de que sólo trabajando juntas y juntos, en plena coordinación con el gobierno de México podemos traer el cambio verdadero a Jalisco, con grandes proyectos que impulsen nuestra economía y traigan bienestar con justicia social para todos.","Desayunos y comidas para todas nuestros niñas, niños y jóvenes desde preescolar hasta secundaria, en escuelas públicas. Porque con hambre no se aprende. Además, nos sumaremos a la propuesta de la Dra. Claudia Sheimbaum, para ampliar la cobertura de la educación media superior y superior, apoyando la construcción de nuevos centros universitarios y preparatorias.","Impulsaremos la movilidad humanista, con dos nuevas líneas de Tren Ligero y ampliando la red ya existente, para así poder conectar mejor el área metropolitana de Guadalajara y con esto lograr que las personas pasen más tiempo con su familia y menos tiempo en traslados a sus hogares.","Trabajaremos hacia la igualdad sustantiva entre mujeres y hombres en Jalisco desde el primer día: constituiremos el primer gabinete paritario en la historia de Jalisco.
Además impulsaremos el Sistema Estatal de Cuidados, para que el Estado comparta la responsabilidad en el cuidado de las y los niños, personas con discapacidad, adultas mayores y enfermos.
Desde el Estado trabajaremos de la mano con el sector privado en promover y vigilar la igualdad salarial entre hombres y mujeres.
Crearemos un Fondo Estatal de Becas para mujeres en las áreas de ciencia, tecnología e ingenierías; e impulsaremos el desarrollo de liderazgos empresariales femeninos a través de mentorías y créditos especiales."
